Publication Title,Number of Studies,Percentage
SCIENTOMETRICS,18,8.21917808219178
RESEARCH POLICY,7,3.1963470319634704
SCIENCE,7,3.1963470319634704
PHYSICS IN PERSPECTIVE,6,2.73972602739726
HISTORICAL STUDIES IN THE PHYSICAL AND BIOLOGICAL SCIENCES,5,2.28310502283105
NATURE,5,2.28310502283105
SCIENCE AND PUBLIC POLICY,5,2.28310502283105
GREEN PROCESSING AND SYNTHESIS,4,1.82648401826484
MINERVA,4,1.82648401826484
PHYSICS TODAY,4,1.82648401826484
SOCIAL STUDIES OF SCIENCE,4,1.82648401826484
CURRENT SCIENCE,3,1.36986301369863
FUSION ENGINEERING AND DESIGN,3,1.36986301369863
JOURNAL OF TECHNOLOGY TRANSFER,3,1.36986301369863
TECHNOVATION,3,1.36986301369863
ACTA PHYSICA POLONICA B,2,0.91324200913242
EMBO REPORTS,2,0.91324200913242
HISTORY OF THE HUMAN SCIENCES,2,0.91324200913242
INDUSTRIAL AND CORPORATE CHANGE,2,0.91324200913242
IUCRJ,2,0.91324200913242
JOURNAL OF INFORMETRICS,2,0.91324200913242
JOURNAL OF LIBRARIANSHIP AND INFORMATION SCIENCE,2,0.91324200913242
PHYSICS WORLD,2,0.91324200913242
PLOS ONE,2,0.91324200913242
PUBLIC UNDERSTANDING OF SCIENCE,2,0.91324200913242
REVIEW OF POLICY RESEARCH,2,0.91324200913242
SCIENCE AS CULTURE,2,0.91324200913242
SCIENCE TECHNOLOGY & HUMAN VALUES,2,0.91324200913242
STUDIES IN HIGHER EDUCATION,2,0.91324200913242
ZEITSCHRIFT FUR SOZIOLOGIE,2,0.91324200913242
ACADEMIC MEDICINE,1,0.45662100456621
AMBIO,1,0.45662100456621
AMERICAN BEHAVIORAL SCIENTIST,1,0.45662100456621
AMERICAN JOURNAL OF SOCIOLOGY,1,0.45662100456621
AMERICAN QUARTERLY,1,0.45662100456621
AMERICAN SCIENTIST,1,0.45662100456621
ANAIS DA ACADEMIA BRASILEIRA DE CIENCIAS,1,0.45662100456621
ANNALS OF LIBRARY AND INFORMATION STUDIES,1,0.45662100456621
ANNALS OF PUBLIC AND COOPERATIVE ECONOMICS,1,0.45662100456621
ANNALS OF SCIENCE,1,0.45662100456621
ANNALS OF SURGERY,1,0.45662100456621
ANTIQUITY,1,0.45662100456621
ASTRONOMY AND COMPUTING,1,0.45662100456621
BERICHTE ZUR WISSENSCHAFTSGESCHICHTE,1,0.45662100456621
BIOPHYSICAL CHEMISTRY,1,0.45662100456621
BIOSOCIETIES,1,0.45662100456621
BRITISH EDUCATIONAL RESEARCH JOURNAL,1,0.45662100456621
BUFFALO LAW REVIEW,1,0.45662100456621
CANADIAN JOURNAL OF AFRICAN STUDIES,1,0.45662100456621
CHINESE SCIENCE BULLETIN-CHINESE,1,0.45662100456621
CIENCIA & SAUDE COLETIVA,1,0.45662100456621
CIRCULATION RESEARCH,1,0.45662100456621
COLD WAR HISTORY,1,0.45662100456621
COMPETITION & CHANGE,1,0.45662100456621
CONTEMPORARY EUROPEAN HISTORY,1,0.45662100456621
CURRENT CONTENTS,1,0.45662100456621
CURRENT CONTENTS/SOCIAL & BEHAVIORAL SCIENCES,1,0.45662100456621
DEFENCE AND PEACE ECONOMICS,1,0.45662100456621
DIGITAL SCHOLARSHIP IN THE HUMANITIES,1,0.45662100456621
ECONOMIC MODELLING,1,0.45662100456621
ENDEAVOUR,1,0.45662100456621
EPISTEMOLOGY & PHILOSOPHY OF SCIENCE-EPISTEMOLOGIYA I FILOSOFIYA NAUKI,1,0.45662100456621
EUROPEAN PHYSICAL JOURNAL A,1,0.45662100456621
EXPERIMENTAL ASTRONOMY,1,0.45662100456621
FORESTRY CHRONICLE,1,0.45662100456621
GAIA-ECOLOGICAL PERSPECTIVES FOR SCIENCE AND SOCIETY,1,0.45662100456621
GEOGRAFISK TIDSSKRIFT-DANISH JOURNAL OF GEOGRAPHY,1,0.45662100456621
GLOBAL POLICY,1,0.45662100456621
HIGHER EDUCATION,1,0.45662100456621
HISTORICAL METHODS,1,0.45662100456621
HISTORICAL STUDIES IN THE NATURAL SCIENCES,1,0.45662100456621
HISTORY AND TECHNOLOGY,1,0.45662100456621
HUMAN RELATIONS,1,0.45662100456621
IEEE TRANSACTIONS ON APPLIED SUPERCONDUCTIVITY,1,0.45662100456621
IEEE TRANSACTIONS ON DIELECTRICS AND ELECTRICAL INSULATION,1,0.45662100456621
INDUSTRY AND HIGHER EDUCATION,1,0.45662100456621
INNOVATION-ORGANIZATION & MANAGEMENT,1,0.45662100456621
INTERDISCIPLINARY SCIENCE REVIEWS,1,0.45662100456621
INTERNATIONAL HISTORY REVIEW,1,0.45662100456621
INTERNATIONAL JOURNAL OF ANTENNAS AND PROPAGATION,1,0.45662100456621
INTERNATIONAL JOURNAL ON DIGITAL LIBRARIES,1,0.45662100456621
ISIS,1,0.45662100456621
JAHRBUCHER FUR NATIONALOKONOMIE UND STATISTIK,1,0.45662100456621
JOURNAL OF DATA AND INFORMATION SCIENCE,1,0.45662100456621
JOURNAL OF ECONOMIC POLICY REFORM,1,0.45662100456621
JOURNAL OF ENGINEERING AND TECHNOLOGY MANAGEMENT,1,0.45662100456621
JOURNAL OF ENVIRONMENTAL STUDIES AND SCIENCES,1,0.45662100456621
JOURNAL OF FURTHER AND HIGHER EDUCATION,1,0.45662100456621
JOURNAL OF GLOBAL HISTORY,1,0.45662100456621
JOURNAL OF KNOWLEDGE MANAGEMENT,1,0.45662100456621
JOURNAL OF PUBLIC PROCUREMENT,1,0.45662100456621
JOURNAL OF RADIOANALYTICAL AND NUCLEAR CHEMISTRY,1,0.45662100456621
JOURNAL OF SOUTHERN AFRICAN STUDIES,1,0.45662100456621
JOURNAL OF THE ASSOCIATION FOR INFORMATION SCIENCE AND TECHNOLOGY,1,0.45662100456621
JOURNAL OF THE KNOWLEDGE ECONOMY,1,0.45662100456621
KNOWLEDGE-CREATION DIFFUSION UTILIZATION,1,0.45662100456621
MALAYSIAN JOURNAL OF LIBRARY & INFORMATION SCIENCE,1,0.45662100456621
MANAGEMENT LEARNING,1,0.45662100456621
MARINE POLLUTION BULLETIN,1,0.45662100456621
NATURE PHOTONICS,1,0.45662100456621
NATURE REVIEWS MOLECULAR CELL BIOLOGY,1,0.45662100456621
NEW GENETICS AND SOCIETY,1,0.45662100456621
NEW JOURNAL OF PHYSICS,1,0.45662100456621
NUCLEAR INSTRUMENTS & METHODS IN PHYSICS RESEARCH SECTION A-ACCELERATORS SPECTROMETERS DETECTORS AND ASSOCIATED EQUIPMENT,1,0.45662100456621
ORGANIZATION STUDIES,1,0.45662100456621
OSTEUROPA,1,0.45662100456621
PEERJ COMPUTER SCIENCE,1,0.45662100456621
PERSPECTIVES IN BIOLOGY AND MEDICINE,1,0.45662100456621
PHILOSOPHICAL PAPERS,1,0.45662100456621
PHYSICA SCRIPTA,1,0.45662100456621
PHYSICS OF PARTICLES AND NUCLEI,1,0.45662100456621
PHYSICS OF PARTICLES AND NUCLEI LETTERS,1,0.45662100456621
POLICY SCIENCES,1,0.45662100456621
PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,1,0.45662100456621
PROFESIONAL DE LA INFORMACION,1,0.45662100456621
PROGRESS IN HUMAN GEOGRAPHY,1,0.45662100456621
PUBLIC ADMINISTRATION REVIEW,1,0.45662100456621
QJM-AN INTERNATIONAL JOURNAL OF MEDICINE,1,0.45662100456621
R & D MANAGEMENT,1,0.45662100456621
RADIO SCIENCE,1,0.45662100456621
RELIGION BRAIN & BEHAVIOR,1,0.45662100456621
RESEARCH-TECHNOLOGY MANAGEMENT,1,0.45662100456621
REVISTA ESPANOLA DE DOCUMENTACION CIENTIFICA,1,0.45662100456621
SCIENCE COMMUNICATION,1,0.45662100456621
SCIENCE IN CONTEXT,1,0.45662100456621
SCIENCE OF THE TOTAL ENVIRONMENT,1,0.45662100456621
SCIENTIA SINICA-PHYSICA MECHANICA & ASTRONOMICA,1,0.45662100456621
SOCIAL SCIENCE QUARTERLY,1,0.45662100456621
SOCIOLOGICAL QUARTERLY,1,0.45662100456621
SOUTH AFRICAN JOURNAL OF SCIENCE,1,0.45662100456621
SPECTROCHIMICA ACTA PART B-ATOMIC SPECTROSCOPY,1,0.45662100456621
STUDIES IN HISTORY AND PHILOSOPHY OF SCIENCE,1,0.45662100456621
SYNTHESE,1,0.45662100456621
TECHNOLOGICAL FORECASTING AND SOCIAL CHANGE,1,0.45662100456621
TECHNOLOGY AND CULTURE,1,0.45662100456621
URBAN PLANNING,1,0.45662100456621
VOPROSY GOSUDARSTVENNOGO I MUNITSIPALNOGO UPRAVLENIYA-PUBLIC ADMINISTRATION ISSUES,1,0.45662100456621
WRITTEN COMMUNICATION,1,0.45662100456621
