Key,Item Type,Publication Year,Author,Title,Publication Title,ISBN,ISSN,DOI,Url,Abstract Note,Date,Date Added,Date Modified,Access Date,Pages,Num Pages,Issue,Volume,Number Of Volumes,Journal Abbreviation,Short Title,Series,Series Number,Series Text,Series Title,Publisher,Place,Language,Rights,Type,Archive,Archive Location,Library Catalog,Call Number,Extra,Notes,File Attachments,Link Attachments,Manual Tags,Automatic Tags,Editor,Series Editor,Translator,Contributor,Attorney Agent,Book Author,Cast Member,Commenter,Composer,Cosponsor,Counsel,Interviewer,Producer,Recipient,Reviewed Author,Scriptwriter,Words By,Guest,Number,Edition,Running Time,Scale,Medium,Artwork Size,Filing Date,Application Number,Assignee,Issuing Authority,Country,Meeting Name,Conference Name,Court,References,Reporter,Legal Status,Priority Numbers,Programming Language,Version,System,Code,Code Number,Section,Session,Committee,History,Legislative Body
J5QFB89W,journalArticle,2017,"Andersen, PH; Aberg, S",Big-science organizations as lead users: A case study of CERN,COMPETITION & CHANGE,,1024-5294,10.1177/1024529417724025,,"This paper explores the role of big-science organizations in a lead-user context. Lead users are valuable for suppliers because they are active in co-developing products and foreshadowing market needs. Big-science organizations represent a special breed of co-developers, as their demands are not necessarily the avant-garde of a coming market. Yet, they may provide a valuable test bed for suppliers because they are pushing the boundaries of technological capacities and, thus, challenging suppliers' talents. They are also prestigious collaboration partners that help producers to be acknowledged as being at the forefront of technology. They are often deeply engaged in their suppliers' manufacturing and development activities, which is seen as a characteristic of the customer-active paradigm upon which the lead-user notion builds. This paper investigates whether and how interacting with the European Organization for Nuclear Research concerning their development needs may contribute to suppliers' innovation. We ask the question: What characterizes interactions with big-science organizations as a type of lead user, and how do these characteristics impact the potential innovation benefits accruing to the suppliers?",2017-10,2/20/23 14:04,2/20/23 14:04,,345-363,,5,21,,,,,,,,,,English,,,,WOS:000412467500001,,,,,/Users/de51/Zotero/storage/P83B3XAG/Andersen and Aberg - 2017 - Big-science organizations as lead users A case st.pdf,,CERN; innovation; Big science; INNOVATION; technology transfer; INDUSTRY; interaction; POLICY; CREATION; INFORMATION; lead user; NETWORK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4RAWGRAZ,journalArticle,2017,"Hallonsten, O; Christensson, O","Collaborative technological innovation in an academic, user-oriented Big Science facility",INDUSTRY AND HIGHER EDUCATION,,0950-4222,10.1177/0950422217729284,,"The innovation systems framework enables a view of innovation as a process involving different actors in different constellations, but it has nonetheless most often been paired with quantitatively oriented studies of patents, licences and spin-offs. In this article, the authors use two cases of technological innovation at an academically organized but user-oriented research facility for experiments in a variety of natural science disciplines. They analyse the academic organization of the lab and its durable and symbiotic relationship with its user community and commercial firms in relevant technological areas to show that technological innovation with scientific as well as commercial relevance can take place in constellations where trust and mutual benefit have replaced formalized practices such as patenting. The article contributes to our understanding of how contemporary Big Science is organized and how it can support technology transfer and the commercialization of research and technologies.",2017-12,2/20/23 14:04,2/20/23 14:04,,399-408,,6,31,,,,,,,,,,English,,,,WOS:000442455900005,,,,,/Users/de51/Zotero/storage/3LQV7ICL/Hallonsten and Christensson - 2017 - Collaborative technological innovation in an acade.pdf,,innovation; FRAMEWORK; Big Science; university-industry collaboration; innovation systems; CENTERS; synchrotron radiation facilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V9LA6TE2,journalArticle,1993,"PRADERIE, F",MEGASCIENCE MOTIVES,PHYSICS WORLD,,0953-8585,10.1088/2058-7058/6/2/12,,,1993-02,2/20/23 14:04,2/20/23 14:04,,13-13,,2,6,,,,,,,,,,English,,,,WOS:A1993KL04700011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EGWRP7JM,journalArticle,2017,"Bianco, W; Gerhart, D; Nicolson-Crotty, S",Waypoints for Evaluating Big Science*,SOCIAL SCIENCE QUARTERLY,,0038-4941,10.1111/ssqu.12467,,"As illustrated by the articles in this volume, there are considerable gaps in the measurement of research productivity/innovation for programs enabled by large initial and ongoing infrastructure investments. Such programs include NASA's International Space Station, DOE's National Ignition Facility, NSF's Polar Program, and CERN's Large Hadron Collider. The enormous sums spent on these projects are often justified by predictions about their contributions to knowledge, the economy, or innovation. But at virtually any point in the lifecycle of a Big Science program, it is not easy to explain to the public, elected officials, and scientists whose proposals were rejected why the program is a compelling investment, given that all of the aforementioned benefits will emerge only over timeif at all.",2017-12,2/20/23 14:04,2/20/23 14:04,,1144-1150,,4,98,,,,,,,,,,English,,,,WOS:000418765900002,,,,,/Users/de51/Zotero/storage/GSYC6IH3/Bianco et al. - 2017 - Waypoints for Evaluating Big Science.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YZQKB6YG,journalArticle,1997,"Elzinga, A",From Arrhenius to megascience: Interplay between science and public decisionmaking,AMBIO,,0044-7447,,,"The life and work of Svante Arrhenius provides an interesting window on changes in the role of science in society. One hundred years ago, Arrhenius too served as science adviser to government, and he emphasized the importance of internationalism. World War I ruptured the social relations of science, and marked the beginning of a complex intertwining of research with the realm of politics. This paper considers Arrhenius' response to this trend, and asks what he would have thought of today's situation when climatology has become a megascience. Some hints of a possible answer are given against the background of a review of Arrhenius' ideas on method, and his Darwinian perspective on the growth of scientific knowledge. In the course of this, the author makes some observations on how policy determination of scientific agendas introduces an organized social dimension, where the drive for consensus may contradict the traditional ideal of a ''Darwinian struggle of hypotheses'', Arrhenius advocated. At the same time it is noted how the traditional ideal of science as neutral ''truth speaking to power'' is constantly being resuscitated, among others by the leading echelon of the Intergovernmental Panel on Climate Change (IPCC). It is suggested that the social dynamics of global-climate-change-science (or ''greenhouse research'') may be understood in terms of a model of mutually reinforcing credibility cycles, linking science and politics.",1997-02,2/20/23 14:04,2/20/23 14:04,,72-80,,1,26,,,,,,,,,,English,,,,WOS:A1997WM53200013,,,,,,,CLIMATE PROTECTION POLICY; LIMITS; SCIENTIFIC ADVICE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X3XEW3CA,journalArticle,2010,"Aronova, E; Baker, KS; Oreskes, N","Big Science and Big Data in Biology: From the International Geophysical Year through the International Biological Program to the Long Term Ecological Research (LTER) Network, 1957-Present",HISTORICAL STUDIES IN THE NATURAL SCIENCES,,1939-1811,10.1525/hsns.2010.40.2.183,,"This paper discusses the historical connections between two large-scale undertakings that became exemplars for worldwide data-driven scientific initiatives after World War II: the International Geophysical Year (1957-1958) and the International Biological Program (1964-1974). The International Biological Program was seen by its planners as a means to promote Big Science in ecology. As the term Big Science gained currency in the 1960s, the Manhattan Project and the national space program became paradigmatic examples, but the International Geophysical Year provided scientists with an alternative model: a synoptic collection of observational data on a global scale. This new, potentially complementary model of Big Science encompassed the field practices of ecologists and suggested a model for the natural historical sciences to achieve the stature and reach of the experimental physical sciences. However, the program encountered difficulties when the institutional structures, research methodologies, and data management implied by the Big Science mode of research collided with the epistemic goals, practices, and assumptions of many ecologists. By 1974, when the program ended, many participants viewed it as a failure. However, this failed program transformed into the Long-Term Ecological Research program. Historical analysis suggests that many of the original incentives of the program ( the emphasis on Big Data and the implementation of the organizational structure of Big Science in biological projects) were in fact realized by the program's visionaries and its immediate investigators. While the program failed to follow the exact model of the International Geophysical Year, it ultimately succeeded in providing a renewed legitimacy for synoptic data collection in biology. It also helped to create a new mode of contemporary science of the Long Term Ecological Research (LTER Network), used by ecologists today.",2010,2/20/23 14:04,2/20/23 14:04,,183-224,,2,40,,,,,,,,,,English,,,,WOS:000277586200002,,,,,,,Big Science; POLICY; UNITED-STATES; data management; data-driven research; EARTH; ECOSYSTEMS; HUMAN GENOME; International Biological Program (IBP); International Geophysical Year (IGY); LESSONS; Roger Revelle; SECURITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SJB4KAWX,journalArticle,2021,"Robinson, M",Big Science Collaborations; Lessons for Global Governance and Leadership,GLOBAL POLICY,,1758-5880,10.1111/1758-5899.12861,,"Big Science communities have been remarkably effective in evolving complex processes and mechanisms to enable international collaborations. Major powers such as the People's Republic of China, Russia and the USA, who are fierce rivals in other domains, form lasting alliances. Three of the most relevant case examples are the Conseil Europeen pour la Recherche Nucleaire (CERN) community, the International Thermonuclear Experiential Reactor (ITER) nuclear fusion project community and the International Space Station (ISS) community.Beyond Gridlocktheory identifies eight pathways through and beyond gridlock and their mechanisms. It is through the combination of these pathways that international collaborations can be initiated, maintained and delivered. Extensive field work in each of the three case study communities reveal winning combinations of pathways for Big Science collaborations. Shifts in major powers' core interests and multiple, diverse organisations and institutions coalescing around common goals emerge as the two core pathways. They are supported in their implementation by two enabling pathways: innovative leadership and innovative funding. The relationship between all four provides clues on mechanisms that can be used to good effect in other international relations domains that are caught up in the debilitating global gridlock phenomenon.",2021-02,2/20/23 14:04,2/20/23 14:04,,66-80,,1,12,,,,,,,,,,English,,,,WOS:000578361300001,,,,,/Users/de51/Zotero/storage/TMJH9YKK/Robinson - 2021 - Big Science Collaborations; Lessons for Global Gov.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V84LT9PF,journalArticle,2015,"Heilemann, U","Macroeconometric Models From ""Little Science"" to ""Big Science""",JAHRBUCHER FUR NATIONALOKONOMIE UND STATISTIK,,0021-4027,,,"This is a fine, useful book on the history and structure of macroeconometric models. Its perspective is ""applied"" and has a ""positivistic bias"". It gives a good (or not so good) picture of the state of the art. The problems of the now ""Big Science"" deserve more attention than the modelling community (and Welfe) so far has been willing to pay. The trend towards ever larger policy-relevant models will continue. However, few of them are accessible to third parties. ""Transparency"", a major goal models had once started to increase, continues to get out of sight.",2015,2/20/23 14:04,2/20/23 14:04,,82-89,,1,235,,,,,,,,,,English,,,,WOS:000348689300005,,,,,,,POLICY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US8J9KNS,conferencePaper,2013,"Light, RP; Polley, DE; Borner, K",OPEN DATA AND OPEN CODE FOR BIG SCIENCE OF SCIENCE STUDIES,Indiana University System,2175-1935,,,,"Historically, science of science studies were/are performed by single investigators or small teams. As the size and complexity of data sets and analyses scales up, a ""Big Science"" approach (Price, 1963) is required that exploits the expertise and resources of interdisciplinary teams spanning academic, government, and industry boundaries. Big science of science studies utilize ""big data"", i.e., large, complex, diverse, longitudinal, and/or distributed datasets that might be owned by different stakeholders. They apply a systems science approach to uncover hidden patterns, bursts of activity, correlations, and laws. They make available open data and open code in support of replication of results, iterative refinement of approaches and tools, and education. This paper introduces a database-tool infrastructure that was designed to support big science of science studies. The open access Scholarly Database (SDB) (http://sdb.cns.iu.edu) provides easy access to 26 million paper, patent, grant, and clinical trial records. The open source Science of Science (Sci2) tool (http://sci2.cns.iu.edu) supports temporal, geospatial, topical, and network studies. The scalability of the infrastructure is examined. Results show that temporal analyses scale linearly with the number of records and file size, while the geospatial algorithm showed quadratic growth. The number of edges rather than nodes determined performance for network based algorithms.",2013,2/20/23 14:04,2/20/23 14:04,,1342-1356,,,,,,,,,,,,,English,,,,WOS:000353961700105,,,,,,,,,"Gorraiz, J; Schiebel, E; Gumpenberger, C; Horlesberger, M; Moed, H",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14TH INTERNATIONAL SOCIETY OF SCIENTOMETRICS AND INFORMETRICS CONFERENCE (ISSI),,,,,,,,,,,,,,,
DSQZZFET,conferencePaper,2016,"Kahn, MJ","Big Science, co-publication and collaboration: getting to the core",University of the Western Cape,978-84-9048-519-4,,,,"International collaboration in science has risen considerably in the last two decades (UNESCO, 2010). In the same period Big Science collaborations have proliferated in physics, astronomy, astrophysics, and medicine. Publications that use Big Science data draw on the expertise of those who design and build the equipment and software, as well as the scientific community. Over time a set of 'rules of use' has emerged that protects their intellectual property but that may have the unintended consequence of enhancing co-publication counts. This in turn distorts the use of co-publication data as a proxy for collaboration. The distorting effects are illustrated by means of a case study of the BRICS countries that recently issued a declaration on scientific and technological cooperation with specific fields allocated to each country. It is found that with a single exception the dominant research areas of collaboration are different to individual country specializations. The disjuncture between such 'collaboration' and the intent of the declaration raises questions of import to science policy, for the BRICS in particular and the measurement of scientific collaboration more generally.",2016,2/20/23 14:04,2/20/23 14:04,,653-661,,,,,,,,,,,,,English,,,,WOS:000436233100084,,,,,,,BRICS COUNTRIES,,"Rafols, I; MolasGallart, J; CastroMartinez, E; Woolley, R",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21ST INTERNATIONAL CONFERENCE ON SCIENCE AND TECHNOLOGY INDICATORS (STI 2016),,,,,,,,,,,,,,,
PIKCXZGW,journalArticle,2001,"Balaram, P","Big science, small science",CURRENT SCIENCE,,0011-3891,,,,7/25/01,2/20/23 14:04,2/20/23 14:04,,133-134,,2,81,,,,,,,,,,English,,,,WOS:000170327500001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3P9VPVYL,journalArticle,2019,"Crew, B",Collaboration and big science,NATURE,,0028-0836,10.1038/d41586-019-03558-5,,,11/21/19,2/20/23 14:04,2/20/23 14:04,,,,7783,575,,,,,,,,,,English,,,,WOS:000498812200063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JHMAHW2H,journalArticle,1986,"LEDERMAN, LM",FUNDING BIG SCIENCE - REPLY,PHYSICS TODAY,,0031-9228,,,,1986-04,2/20/23 14:04,2/20/23 14:04,,84-&,,4,39,,,,,,,,,,English,,,,WOS:A1986A942800022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q9XMPMW5,journalArticle,2005,"Wall, TD; Wood, SJ","The romance of human resource management and business performance, and the case for big science",HUMAN RELATIONS,,0018-7267,10.1177/0018726705055032,,"It is often assumed that research over the last decade has established an effect of human resource management (HRM) practices on organizational performance. Our critical assessment of existing studies finds that, although collectively they have opened up a promising line of inquiry their methodological limitations make such a conclusion premature. We argue that future progress depends on using stronger research methods and design that, in turn, will require large-scale long-term research at a level of magnitude that probably can only be achieved through partnerships between research, practitioner and government communities. We conclude that progress so far justifies investment in such big science.",2005-04,2/20/23 14:04,2/20/23 14:04,,429-462,,4,58,,,,,,,,,,English,,,,WOS:000230730000003,,,,,/Users/de51/Zotero/storage/RDRJYL29/Wall and Wood - 2005 - The romance of human resource management and busin.pdf,,organizational performance; IMPACT; TURNOVER; UK; SYSTEMS; company performance; COMPANY PERFORMANCE; FIRM PERFORMANCE; high performance work organization; high performance work systems; human resource management; INVOLVEMENT WORK PRACTICES; MANUFACTURING PERFORMANCE; MEASUREMENT ERROR; PRODUCTIVITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UQT9S64E,journalArticle,1985,"HOLDEN, C",GLOBAL COOPERATION IN BIG SCIENCE,SCIENCE,,0036-8075,10.1126/science.229.4708.32,,,1985,2/20/23 14:04,2/20/23 14:04,,32-33,,4708,229,,,,,,,,,,English,,,,WOS:A1985ALC3800013,,,,,/Users/de51/Zotero/storage/2CX4SUWS/HOLDEN - 1985 - GLOBAL COOPERATION IN BIG SCIENCE.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FN2EVTUB,journalArticle,1988,"WEBSTER, GL",BIG SCIENCE AND LITTLE SCIENCE,AMERICAN SCIENTIST,,0003-0996,,,,1988-07,2/20/23 14:04,2/20/23 14:04,,334-335,,4,76,,,,,,,,,,English,,,,WOS:A1988P233800004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TIMX77XC,journalArticle,1979,"KLINGEMANN, H",LABOR MOBILITY IN BIG SCIENCE,ZEITSCHRIFT FUR SOZIOLOGIE,,0340-1804,,,,1979,2/20/23 14:04,2/20/23 14:04,,230-253,,3,8,,,,,,,,,,German,,,,WOS:A1979HB19000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
